"Rank","Gene","p_value"
706,"MIMT1",7.38339169891658e-08
707,"LINC02298",7.39262151139116e-08
708,"BRIP1",7.45208061612937e-08
709,"P3H2",7.5027758491945e-08
710,"ACTR5",7.57818570997614e-08
711,"FNDC10",7.58034360307015e-08
712,"ENSG00000277214",7.58870626906163e-08
713,"SNAP29",7.65900035994367e-08
714,"BACE1",7.67775091573898e-08
715,"HMGB3",7.69160922318341e-08
716,"KBTBD4",7.72351538869121e-08
717,"STEAP1",7.80114936886981e-08
718,"ENSG00000268903",7.88119516816523e-08
719,"SETP20",7.89459030162305e-08
720,"RPL35AP9",7.89672273461909e-08
721,"MSRB3",7.90389929488858e-08
722,"ENSG00000228021",7.90534808346549e-08
723,"DNAJB5",7.90732365882353e-08
724,"BRK1P1",7.90748103441597e-08
725,"TRHDE-AS1",8.00794705793183e-08
726,"CALU",8.07174559004339e-08
727,"IGF2-AS",8.08465449005978e-08
728,"ENSG00000272321",8.11647679154169e-08
729,"ENSG00000279491",8.14646969514448e-08
730,"LMOD1",8.21275568591647e-08
731,"UNC13B",8.28675324877208e-08
732,"FBXO10",8.3660291436287e-08
733,"ENSG00000177359",8.3722098281334e-08
734,"FRA10AC1",8.37242983706119e-08
735,"PRSS46P",8.45903656634287e-08
736,"FAM98A",8.52637976651057e-08
737,"LAPTM4A",8.53930940356506e-08
738,"ZNF525",8.5958451180551e-08
739,"ENSG00000286885",8.60945508857657e-08
740,"CD1C",8.61125647269334e-08
741,"IGF2R",8.79262908161707e-08
742,"POLA2",8.81552923824552e-08
743,"HNRNPA1",8.8713251505969e-08
744,"HNRNPUL2",9.09622364048036e-08
745,"DHH",9.16606337069864e-08
746,"ACTR3B",9.16610159857661e-08
747,"VANGL1",9.25037895905051e-08
748,"RILPL1",9.30976976044194e-08
749,"ENSG00000286819",9.34419977319625e-08
750,"USP45",9.35224311335218e-08
751,"RAD9B",9.36794186016987e-08
752,"CATIP",9.37914825208757e-08
753,"OXCT2P1",9.4010660788729e-08
754,"ATP2A2",9.43617841018446e-08
755,"ACTN1",9.4720721185267e-08
756,"DNAJC3-DT",9.60642133991756e-08
757,"H1-0",9.62554445724459e-08
758,"NAA20",9.66899442804751e-08
759,"FEV",9.73808142441364e-08
760,"RGS11",9.75642526978626e-08
761,"CXorf38",9.79929151343343e-08
762,"C18orf54",9.80269720419377e-08
763,"USP3-AS1",9.82356589598392e-08
764,"ENSG00000218416",9.84962436965448e-08
765,"ENSG00000235189",9.94568010521471e-08
766,"IGSF8",1.00077067605555e-07
767,"LOXL2",1.00367280191652e-07
768,"PELO",1.01409347984086e-07
769,"SEC23A",1.01481933252794e-07
770,"SRSF1",1.02849473774168e-07
