"Rank","Gene","p_value"
120,"MSC",3.37694880755938e-07
121,"MYH15",3.43580730132584e-07
122,"UBXN2B",3.44542709068556e-07
123,"NCOA7",3.61187418070578e-07
124,"PAQR7",3.62249219291041e-07
125,"TSPO",3.71161428989589e-07
126,"PCDHGB8P",3.72627647113505e-07
127,"ZNF549",3.75452490371652e-07
128,"RAB32",3.80267209521132e-07
129,"MIDN",3.98252229555082e-07
130,"RBM15B",4.02655312809132e-07
131,"NKAPL",4.05125989408476e-07
132,"ERCC6",4.0513938788583e-07
133,"ENSG00000283828",4.21618940711484e-07
134,"DLK2",4.28138623286029e-07
135,"ANKEF1",4.39087189170345e-07
136,"PIM3",4.39683046932505e-07
137,"WDR35",4.48004363741092e-07
138,"H1-0",4.50988034042156e-07
139,"COL21A1",4.58596819262478e-07
140,"ENSG00000282317",4.60730741830863e-07
141,"KLHL5",4.66352343063745e-07
142,"ANKRD53",4.66632944033365e-07
143,"OGG1",4.72985001641024e-07
144,"PAPSS1",4.79440702687765e-07
145,"UBE2R2",4.88775559974899e-07
146,"PCDHGA11",4.97632657714671e-07
147,"DDB2",5.02342116477499e-07
148,"SP1",5.03903871623456e-07
149,"EPC2",5.13716387411261e-07
150,"C10orf67",5.33792021989066e-07
151,"SIAH2",5.52357437423042e-07
152,"ABL1",5.52581761019448e-07
153,"NPAS2",5.53281601007012e-07
154,"SLC35F6",5.68087596981773e-07
155,"LBX2-AS1",5.69948874249561e-07
156,"AKNA",5.71610430726158e-07
157,"ZCCHC3",5.77441107866826e-07
158,"CCDC97",5.86746072778727e-07
159,"RPL23P2",6.01577022731759e-07
160,"PIGC",6.23084078063074e-07
161,"ENSG00000267279",6.57955084462633e-07
162,"CAPNS1",6.76886425436135e-07
163,"CFI",7.02559899423487e-07
164,"RANBP17",7.10368615464272e-07
165,"SRSF8",7.16686778665881e-07
166,"SPSB1",7.17148381615732e-07
167,"ZNF740",7.34799141802492e-07
168,"ZNF280B",7.48531269047619e-07
169,"ENSG00000214754",7.67982510068912e-07
170,"KIRREL1",7.72624705364113e-07
171,"CH25H",7.77796333777823e-07
172,"APLP1",7.79781114117197e-07
173,"SLCO3A1",7.84823760902205e-07
174,"ANKRD22",7.91869541118776e-07
175,"HERC5",7.94163867837717e-07
176,"TRIB3",8.1303683247938e-07
177,"KDELR3",8.23539462783773e-07
178,"SLC17A9",8.3303753920867e-07
